price,baths,beds,dogs_allowed,comes_furnished,type,sqfeet,parking_options,laundry_options,state,lat,long,id
925,1,1,0,0,in-law,550,off-street parking,w/d in unit,ca,39.3385,'-120.173,7045975244
1375,1,1,0,1,condo,420,carport,laundry in bldg,tx,27.8239,'-97.3878,7046053224
850,1,1,0,0,apartment,950,off-street parking,laundry in bldg,ny,42.9016,'-78.7066,7046215284
700,1,1,0,0,apartment,1000,off-street parking,laundry in bldg,wi,42.6752,'-88.258,7046259851
1060,1,1,0,0,apartment,469,off-street parking,laundry on site,nj,40.0422,'-75.0244,7046452550
1250,1,1,0,0,house,650,street parking,laundry on site,ny,40.7511,'-73.2046,7046479685
950,1,1,0,0,apartment,740,off-street parking,no laundry on site,ma,42.1126,'-72.0842,7046488829
735,1,1,0,0,apartment,700,carport,laundry in bldg,mi,42.3802,'-83.2123,7046707911
325,1,1,0,1,apartment,300,off-street parking,laundry in bldg,ga,32.7885,'-83.6683,7046961894
1100,1,1,0,0,townhouse,825,off-street parking,w/d hookups,va,37.5999,'-77.6222,7047058548
750,1,1,0,0,apartment,900,off-street parking,laundry on site,oh,41.1449,'-81.3498,7047197308
600,1,1,0,0,apartment,850,off-street parking,laundry on site,il,42.301,'-89.0833,7047577544
1295,1,1,0,0,apartment,600,off-street parking,laundry on site,ca,33.9413,'-118.036,7047824640
925,1,1,0,0,apartment,300,off-street parking,laundry on site,il,41.873,'-87.6275,7047904909
960,1,1,0,0,apartment,463,street parking,laundry on site,la,29.933,'-90.1065,7048076115
1099,1,1,0,0,apartment,750,attached garage,w/d in unit,wi,42.5293,'-87.8855,7048300895
895,1,1,0,0,apartment,384,off-street parking,laundry on site,ca,40.8769,'-124.083,7048455440
1380,1,1,0,0,apartment,712,carport,w/d in unit,ca,33.7225,'-116.377,7048474822
2200,1,1,0,0,apartment,900,no parking,laundry on site,ma,42.3296,'-71.1936,7048539893
1025,1,1,0,0,apartment,380,off-street parking,laundry in bldg,az,35.1924,'-111.651,7048553188
875,1,1,0,0,apartment,800,off-street parking,laundry in bldg,mi,42.2501,'-83.661,7048572520
265,1,1,0,0,apartment,610,off-street parking,laundry on site,ca,39.535,'-119.762,7048647481
1375,1,1,0,0,apartment,900,carport,no laundry on site,ma,41.7002,'-70.372,7048727322
390,1,1,0,0,apartment,600,street parking,no laundry on site,ks,37.8419,'-94.7098,7048738999
1312,1,1,0,0,apartment,640,carport,w/d in unit,mi,42.97,'-85.6431,7048789092
975,1,1,0,0,apartment,900,street parking,w/d in unit,va,37.5415,'-77.4442,7048794892
366,1,1,0,0,apartment,400,street parking,no laundry on site,oh,41.6339,'-83.5672,7048802837
599,1,1,0,0,apartment,650,off-street parking,laundry in bldg,ia,41.2587,'-95.9437,7048978197
500,1,1,0,0,apartment,550,off-street parking,no laundry on site,ny,43.1146,'-79.0378,7049063711
700,1,1,0,0,apartment,900,off-street parking,w/d in unit,pa,39.8572,'-76.8774,7049437821
700,1,1,0,0,apartment,900,off-street parking,laundry in bldg,pa,39.8572,'-76.8774,7049440583
1775,1,1,0,0,duplex,938,street parking,w/d hookups,ca,38.5568,'-121.493,7049479953
850,1,1,0,0,apartment,850,off-street parking,laundry in bldg,wi,42.9962,'-88.2358,7049579031
825,1,1,0,0,apartment,700,off-street parking,laundry in bldg,ny,42.8997,'-78.8803,7049682792
775,1,1,0,0,house,800,off-street parking,w/d hookups,mt,46.879,'-114.018,7049786032
550,1,1,0,0,cottage/cabin,650,off-street parking,w/d hookups,ca,37.9766,'-120.404,7049898399
1313,1,1,0,0,apartment,783,attached garage,w/d hookups,ga,33.8124,'-84.3652,7049990441
1180,1,1,0,0,apartment,770,carport,w/d in unit,az,33.4777,'-112.309,7049991686
410,1,1,0,0,apartment,350,street parking,no laundry on site,wi,43.0376,'-87.953,7050165769
715,1,1,0,0,apartment,600,off-street parking,laundry in bldg,wi,43.0098,'-89.7369,7050751534
1250,1,1,0,0,apartment,1300,off-street parking,laundry in bldg,ky,38.2278,'-85.7615,7050752294
2150,1,1,0,0,condo,950,off-street parking,w/d in unit,or,45.5288,'-122.683,7050896612
1350,1,1,0,0,condo,832,attached garage,w/d hookups,me,43.7351,'-70.542,7051096727
895,1,1,0,0,apartment,850,off-street parking,laundry in bldg,pa,42.0659,'-80.0892,7051109569
1210,1,1,0,0,apartment,522,attached garage,w/d hookups,wa,47.7377,'-122.343,7051191776
900,1,1,0,0,apartment,900,street parking,w/d in unit,oh,37.1328,'-95.7856,7051201561
999,1,1,0,1,apartment,474,attached garage,w/d in unit,wa,47.7377,'-122.343,7051232028
1000,1,1,1,0,apartment,800,carport,laundry in bldg,ak,61.2234,'-149.782,7004041631
750,1,1,1,0,apartment,831,off-street parking,laundry in bldg,il,41.5238,'-90.5697,7014098327
619,1,1,1,0,apartment,660,off-street parking,laundry on site,oh,41.5921,'-83.6425,7014686863
865,1,1,1,0,apartment,645,off-street parking,laundry in bldg,ny,43.0279,'-76.108,7018493147
700,1,1,1,0,apartment,470,off-street parking,laundry in bldg,wi,42.7515,'-87.812,7018534149
1850,1,1,1,0,apartment,740,off-street parking,laundry in bldg,ma,42.1063,'-70.7479,7019876682
1715,1,1,1,0,apartment,866,off-street parking,w/d in unit,ct,41.362,'-72.9361,7019927908
840,1,1,1,0,apartment,664,off-street parking,laundry in bldg,ny,43.1099,'-76.187,7020114030
550,1,1,1,0,apartment,700,off-street parking,laundry in bldg,ia,42.4649,'-90.6829,7020330354
825,1,1,1,0,house,1000,off-street parking,w/d hookups,or,44.1476,'-123.744,7020974656
845,1,1,1,0,loft,800,off-street parking,laundry on site,pa,40.7406,'-75.3086,7023684147
500,1,1,1,0,apartment,867,off-street parking,w/d in unit,al,31.217,'-85.4026,7024663266
350,1,1,1,0,apartment,1600,off-street parking,w/d in unit,mn,44.1535,'-93.9888,7024969832
629,1,1,1,0,apartment,600,street parking,laundry on site,al,34.7389,'-86.6249,7025008996
843,1,1,1,1,apartment,475,off-street parking,laundry in bldg,ny,42.0983,'-77.266,7025024806
1577,1,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7025057483
900,1,1,1,0,apartment,900,attached garage,w/d in unit,ar,36.3169,'-94.1545,7025091908
550,1,1,1,0,apartment,600,off-street parking,laundry in bldg,pa,42.0641,'-80.0851,7025159062
999,1,1,1,0,apartment,800,attached garage,w/d in unit,wi,42.6896,'-88.039,7025728773
660,1,1,1,0,apartment,607,off-street parking,w/d in unit,mi,41.9293,'-83.4448,7026755421
1535,1,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7026814053
879,1,1,1,0,apartment,820,attached garage,w/d in unit,in,41.7299,'-86.2407,7026839963
1165,1,1,1,0,apartment,865,attached garage,w/d in unit,in,39.1639,'-86.5348,7026856584
1787,1,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7026981613
341,1,1,1,0,apartment,899,off-street parking,laundry on site,wi,44.2864,'-90.8291,7026987691
660,1,1,1,1,apartment,650,off-street parking,no laundry on site,nc,35.0381,'-78.9587,7027005176
465,1,1,1,0,apartment,586,off-street parking,w/d hookups,oh,41.0504,'-81.5013,7027108556
799,1,1,1,0,townhouse,904,street parking,laundry on site,al,33.1563,'-87.5607,7027125466
1998,1,1,1,0,apartment,878,off-street parking,w/d in unit,tx,31.8816,'-102.013,7027131779
1521,1,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7027427556
1593,1,1,1,0,apartment,950,off-street parking,laundry in bldg,ma,42.2767,'-71.6972,7027432474
1577,1,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7027615889
225,1,1,1,1,apartment,610,off-street parking,no laundry on site,ct,41.3446,'-72.0742,7028894509
715,1,1,1,0,apartment,800,carport,w/d hookups,tx,33.8924,'-98.5421,7028997684
650,1,1,1,0,apartment,730,off-street parking,laundry on site,al,34.6679,'-86.5603,7029697737
700,1,1,1,0,apartment,900,off-street parking,laundry on site,ks,39.0142,'-95.6981,7029752267
908,1,1,1,0,townhouse,1200,off-street parking,w/d hookups,mi,42.3324,'-85.2695,7030730140
965,1,1,1,0,apartment,984,carport,w/d hookups,wa,46.2109,'-119.168,7030851792
1787,1,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7031009123
1535,1,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7031011044
1521,1,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7031366530
1577,1,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7031604827
825,1,1,1,0,townhouse,1100,off-street parking,w/d hookups,mi,42.2397,'-83.2351,7031674884
645,1,1,1,0,apartment,625,street parking,laundry in bldg,oh,41.1111,'-81.5735,7032020811
995,1,1,1,0,apartment,800,off-street parking,w/d in unit,ny,42.7287,'-73.6683,7032051444
746,1,1,1,0,apartment,617,carport,laundry on site,tx,27.7088,'-97.4094,7032322819
860,1,1,1,0,apartment,714,off-street parking,laundry in bldg,mi,42.2583,'-83.6525,7032622006
645,1,1,1,0,apartment,500,off-street parking,laundry on site,oh,41.1483,'-81.8738,7032626999
615,1,1,1,0,apartment,874,off-street parking,laundry in bldg,in,37.9678,'-87.4855,7032697060
1535,1,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7032813489
925,1,1,1,0,apartment,740,carport,laundry on site,tx,31.8851,'-102.34,7032823606
1787,1,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7032906053
550,1,1,1,1,apartment,600,street parking,no laundry on site,tn,35.8999,'-83.8169,7032943732
1998,1,1,1,0,apartment,878,off-street parking,w/d in unit,tx,31.8816,'-102.013,7033047411
875,1,1,1,1,apartment,740,street parking,w/d hookups,sc,34.1103,'-81.1966,7033289096
1473,1,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7033329573
995,1,1,1,0,apartment,832,off-street parking,w/d in unit,sc,32.2513,'-80.8721,7033381571
1527,1,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7033529739
1525,1,1,1,0,apartment,962,off-street parking,w/d in unit,ma,42.4181,'-71.6828,7033608218
1385,1,1,1,0,apartment,786,carport,w/d in unit,ca,33.6685,'-116.308,7034153772
1100,1,1,1,0,apartment,539,attached garage,w/d in unit,in,39.164,'-86.5336,7034289477
350,1,1,1,1,apartment,500,carport,w/d in unit,or,43.3549,'-124.146,7034405548
225,1,1,1,1,apartment,610,off-street parking,no laundry on site,ct,41.3446,'-72.0742,7034493906
643,1,1,1,0,apartment,613,off-street parking,laundry on site,tn,36.5853,'-87.4186,7035100705
1487,1,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7035135841
679,1,1,1,0,apartment,607,no parking,w/d in unit,oh,41.2239,'-83.8964,7035184798
1737,1,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7035352320
1290,1,1,1,0,apartment,735,carport,w/d in unit,tx,31.9076,'-102.283,7035405179
825,1,1,1,0,apartment,903,off-street parking,w/d in unit,mo,37.1934,'-93.3149,7035446738
1998,1,1,1,0,apartment,878,off-street parking,w/d in unit,tx,31.8816,'-102.013,7035502754
1473,1,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7035795366
1560,1,1,1,0,apartment,925,street parking,w/d in unit,md,39.3647,'-77.4636,7035823183
605,1,1,1,0,apartment,820,carport,w/d hookups,mi,42.9925,'-83.7373,7035892960
910,1,1,1,0,apartment,749,off-street parking,w/d hookups,ga,32.5369,'-84.9274,7035898528
875,1,1,1,0,apartment,517,off-street parking,w/d in unit,id,46.7432,'-117.156,7035949418
1527,1,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7035976217
980,1,1,1,0,apartment,750,off-street parking,laundry in bldg,wi,42.3524,'-88.0545,7035996676
975,1,1,1,0,apartment,700,detached garage,laundry on site,mt,46.5398,'-112.176,7036084589
1052,1,1,1,0,apartment,533,carport,w/d in unit,ca,38.0241,'-121.361,7036090200
1489,1,1,1,0,apartment,854,off-street parking,w/d in unit,co,40.1779,'-105.101,7036175925
1524,1,1,1,0,apartment,900,carport,w/d in unit,mi,42.337,'-83.8251,7036388996
925,1,1,1,0,apartment,740,carport,laundry on site,tx,31.8851,'-102.34,7036394513
875,1,1,1,0,apartment,700,off-street parking,laundry on site,nj,39.6257,'-75.5074,7036461800
665,1,1,1,0,apartment,600,off-street parking,w/d in unit,ky,38.1628,'-84.9022,7036534659
752,1,1,1,0,apartment,800,off-street parking,laundry on site,mi,42.7334,'-84.5571,7036549507
705,1,1,1,0,apartment,800,carport,w/d hookups,mi,42.3113,'-85.1874,7036593370
833,1,1,1,0,apartment,486,off-street parking,w/d in unit,fl,29.2012,'-81.0371,7036662176
687,1,1,1,0,apartment,595,carport,laundry on site,ca,36.6313,'-119.312,7036698325
950,1,1,1,0,apartment,600,off-street parking,no laundry on site,me,41.8729,'-71.3907,7037666753
1473,1,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7037699406
25,1,1,1,0,apartment,599,off-street parking,laundry on site,mn,47.4019,'-92.9316,7037724736
2250,1,1,1,0,apartment,794,attached garage,w/d in unit,ca,34.1825,'-119.228,7037746779
1527,2,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7037867229
1279,2,1,1,0,apartment,648,attached garage,w/d in unit,tx,29.8709,'-93.9643,7038494592
3900,2,1,1,1,apartment,650,attached garage,w/d in unit,ma,42.3492,'-71.0768,7038929240
1400,2,1,1,0,cottage/cabin,600,off-street parking,laundry on site,ca,34.4296,'-119.861,7039013459
1945,2,1,1,0,apartment,1098,off-street parking,w/d in unit,nh,42.7637,'-71.4684,7039120002
1487,2,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7039415441
1650,2,1,1,1,apartment,1000,off-street parking,laundry in bldg,ks,39.0382,'-94.5929,7039515095
1737,2,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7039600240
1998,2,1,1,0,apartment,878,off-street parking,w/d in unit,tx,31.8816,'-102.013,7039746915
1473,2,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7040046820
425,2,1,1,0,apartment,625,off-street parking,laundry on site,ok,36.4124,'-99.4074,7040095518
1155,2,1,1,0,apartment,728,carport,w/d in unit,or,44.8889,'-123.06,7040247318
1527,2,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7040253167
1370,2,1,1,0,apartment,673,attached garage,w/d hookups,il,38.6108,'-90.292,7040392328
1110,2,1,1,0,apartment,875,off-street parking,laundry in bldg,ny,43.0157,'-78.7883,7040614398
400,2,1,1,0,house,500,detached garage,no laundry on site,mn,47.487,'-95.4133,7040805008
660,2,1,1,1,apartment,650,off-street parking,no laundry on site,nc,35.0381,'-78.9587,7041210813
1025,2,1,1,0,apartment,750,carport,w/d in unit,ut,40.372,'-111.733,7041273157
1068,2,1,1,0,apartment,620,street parking,w/d in unit,co,40.4213,'-104.764,7041336994
1487,2,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7041437207
1737,2,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7041438365
1998,2,1,1,0,apartment,878,off-street parking,w/d in unit,tx,31.8816,'-102.013,7041602340
479,2,1,1,0,apartment,562,off-street parking,laundry on site,oh,39.7824,'-84.0271,7041799124
700,2,1,1,0,apartment,900,off-street parking,laundry in bldg,mi,42.325,'-85.6455,7041815887
1473,2,1,1,0,apartment,669,off-street parking,w/d in unit,tx,31.8816,'-102.013,7041842077
1013,2,1,1,0,apartment,545,off-street parking,laundry in bldg,me,43.6606,'-70.2589,7041903699
1527,2,1,1,0,apartment,713,off-street parking,w/d in unit,tx,31.8816,'-102.013,7042015384
799,2,1,1,0,apartment,684,attached garage,laundry in bldg,ok,32.8013,'-97.1952,7042101097
844,2,1,1,0,apartment,789,off-street parking,laundry in bldg,mi,42.7053,'-84.4187,7042116512
960,2,1,1,0,apartment,650,carport,w/d in unit,az,33.5961,'-112.12,7042123827
1050,2,1,1,1,apartment,650,off-street parking,w/d in unit,pa,40.8062,'-77.9028,7042218455
780,2,1,1,0,apartment,937,carport,laundry in bldg,mi,43.6451,'-84.2877,7043344498
1487,2,1,1,0,apartment,617,off-street parking,w/d in unit,tx,31.8816,'-102.013,7043383586
2100,2,1,1,1,apartment,1600,off-street parking,no laundry on site,dc,38.8264,'-77.1473,7043444230
629,2,1,1,0,apartment,600,street parking,laundry on site,al,34.7389,'-86.6249,7043541945
699,2,1,1,0,apartment,612,off-street parking,laundry in bldg,in,39.7851,'-86.1595,7043551897
1737,2,1,1,0,apartment,795,off-street parking,w/d in unit,tx,31.8816,'-102.013,7043557596
